group,variable,col,value
26/11/19,Suncorp,Change,"[{""url"":""https://www.suncorp.com.au/insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.suncorp.com.au/insurance/home.html"",""removed_content"":[""y_2019, m_11, d_19, h_19"",""bvseo_bulk, prod_bvrr, vn_bulk_3.0.3-b1"",""CLOUD, getContent, 35ms""],""added_content"":[""bvseo_bulk, prod_bvrr, vn_bulk_3.0.3"",""CLOUD, getContent, 1320ms"",""y_2019, m_11, d_23, h_18""],""content_changed"":true},{""url"":""https://www.suncorp.com.au/insurance/car.html"",""removed_content"":[""bvseo_bulk, prod_bvrr, vn_bulk_3.0.2"",""y_2019, m_11, d_18, h_12"",""CLOUD, getContent, 7ms""],""added_content"":[""bvseo_bulk, prod_bvrr, vn_bulk_3.0.3"",""CLOUD, getContent, 83ms"",""y_2019, m_11, d_23, h_18""],""content_changed"":true},{""url"":""https://www.suncorp.com.au/insurance/life.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.suncorp.com.au/insurance/health.html"",""removed_content"":[""Ends 30 November 2019."",""The Offer will only be fulfilled to the primary policyholder once the policy has been held for 60 consecutive days after the end of the month that the Eligible Product was purchased in."",""This Offer is only available to new customers who take out a combined Suncorp Hospital & Extras policy by 11:59pm AEST 30 November 2019.""],""added_content"":[""The Offer will be fulfilled to the primary policyholder once the policy has been held consecutively until 30 January 2020."",""Ends 15 December 2019."",""*This Offer is only available to new customers who take out a combined Suncorp Hospital & Extras policy by 11:59pm AEDT 15 December 2019 (extended from original expiry date of 30 November 2019).""],""content_changed"":true},{""url"":""https://www.suncorp.com.au/insurance/travel.html"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
26/11/19,QBE,No Change,"[{""url"":""https://www.qbe.com/au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.qbe.com/au/motor-vehicle-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.qbe.com/au/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.qbe.com/au/business-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
25/11/19,Huddle,No Change,"[{""url"":""https://huddle.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://huddle.com.au/car-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://huddle.com.au/travel-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://huddle.com.au/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
25/11/19,NRMA,No Change,"[{""url"":""https://www.nrma.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.nrma.com.au/car-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.nrma.com.au/travel-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.nrma.com.au/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
25/11/19,Woolworths,No Change,"[{""url"":""https://insurance.woolworths.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://insurance.woolworths.com.au/car-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://insurance.woolworths.com.au/travel-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://insurance.woolworths.com.au/home-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
25/11/19,Youi,No Change,"[{""url"":""https://www.youi.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.youi.com.au/car-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.youi.com.au/motorcycle-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.youi.com.au/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
25/11/19,Budget Direct,No Change,"[{""url"":""https://www.budgetdirect.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.budgetdirect.com.au/car-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.budgetdirect.com.au/home-contents-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.budgetdirect.com.au/travel-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
25/11/19,Bingle,No Change,"[{""url"":""https://www.bingle.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
25/11/19,Coles,No Change,"[{""url"":""https://financialservices.coles.com.au/insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://financialservices.coles.com.au/insurance/car-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://financialservices.coles.com.au/insurance/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://financialservices.coles.com.au/insurance/travel-insurance-existing-policyholders"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
25/11/19,Real Insurance,Change,"[{""url"":""https://www.realinsurance.com.au"",""removed_content"":[""1"",""Save up to 10% when you buy Real Car Insurance online""],""added_content"":[""Save up to $220 with Pay As You Drive Car Insurance."",""Save big!"",""3"",""Drive less.""],""content_changed"":true},{""url"":""https://www.realinsurance.com.au/car-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.realinsurance.com.au/home-insurance"",""removed_content"":[""109""],""added_content"":[""120""],""content_changed"":true},{""url"":""https://www.realinsurance.com.au/landlords-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.realinsurance.com.au/life-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.realinsurance.com.au/income-protection-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.realinsurance.com.au/pet-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.realinsurance.com.au/funeral-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.realinsurance.com.au/travel-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.realinsurance.com.au/bike-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
25/11/19,Virgin Money,No Change,"[{""url"":""https://virginmoney.com.au/insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://virginmoney.com.au/insurance/car-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://virginmoney.com.au/insurance/income-protection"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://virginmoney.com.au/insurance/life-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://virginmoney.com.au/insurance/travel-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
25/11/19,AAMI,Change,"[{""url"":""https://www.aami.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.aami.com.au/car-insurance.html"",""removed_content"":[""Date published: 2019-11-04"",""HAD PREVIOUS INSURANCE WITH AAMI THOUGHT iD TRY AND SEE IF i STILL GOT A GOOD DEAL AND i DID"",""Hmac61"",""Oh and a competitive price too!"",""VERY EASY SITE TO USE"",""Been with AAMI for years now,never had a problem,awsome :)"",""Easy and quick to complete!"",""really easy to get a quote"",""co_hasreviews, tv_116, tr_4496"",""Easy to understand, simple interface and no issues with organising our 3rs insurance policy."",""great value for money .asking me to add an extra 27 characters means that I will only repeat what I have already said"",""very straightforward"",""Date published: 2019-11-07"",""y_2019, m_11, d_22, h_2"",""CLOUD, getContent, 308ms"",""BUBBA"",""4612"",""Date published: 2019-11-12"",""SammyF"",""STOCKO""],""added_content"":[""Bridge"",""co_hasreviews, tv_116, tr_4500"",""Date published: 2019-11-21"",""Great service and quick to do no problems at all very happy"",""Great and quick"",""Easy to do"",""Guys please check AAMI before sign up with other insurance..."",""I believe you will find more cheaper and more options... give it a go..."",""4616"",""y_2019, m_11, d_23, h_13"",""Anonymous"",""Date published: 2019-11-20"",""Date published: 2019-11-22"",""CLOUD, getContent, 294ms"",""James 1960"",""Easy and cheap"",""It was so quick and easy.. best of all so cheap"",""I am so happy."",""Pretty happy with outcome and I will recommend friends and neigjbours"",""Very simple click click even understandable...""],""content_changed"":true},{""url"":""https://www.aami.com.au/home-insurance.html"",""removed_content"":[""Date published: 2019-08-29"",""2"",""CLOUD, getContent, 358ms"",""co_hasreviews, tv_81, tr_1254"",""bvseo_bulk, prod_bvrr, vn_bulk_3.0.3-b1"",""y_2019, m_11, d_20, h_3"",""He said he could give me a better price, $1641, and would send it to my email to confirm."",""I went thru the process and got an online quote, then chatted with your representative online."",""online help was not so good."",""I paid $1676 today by mastercard."",""1335"",""Nothing was sent, I only got my original quote of 1676.82.""],""added_content"":[""While the process to take up your policy online was very easy, the fact is the new policy price was cheaper after all the discounts than the renewal price as an existing customer."",""CLOUD, getContent, 42ms"",""1336"",""co_hasreviews, tv_81, tr_1255"",""y_2019, m_11, d_23, h_13"",""bvseo_bulk, prod_bvrr, vn_bulk_3.0.3"",""NEW QUOTE WAS CHEAPER"",""Date published: 2019-11-20""],""content_changed"":true},{""url"":""https://www.aami.com.au/health-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.aami.com.au/travel-insurance.html"",""removed_content"":[""Jkjeeper"",""Very easy to use."",""Date published: 2019-11-10"",""Kiki114"",""CLOUD, getContent, 366ms"",""Was finished in under five minutes and ready to go"",""697"",""Getting better a the time."",""Great"",""Seems AAMI are on a continuous improvement program, online services getting less and less clunky all the time."",""y_2019, m_11, d_22, h_2"",""co_hasreviews, tv_1, tr_696""],""added_content"":[""699"",""Date published: 2019-11-21"",""The doc"",""y_2019, m_11, d_23, h_13"",""Anonymous"",""Probably should of done a price comparison."",""Simple"",""Satisfied with the overall experience and short duration"",""CLOUD, getContent, 83ms"",""Easier and cheaper than expected"",""co_hasreviews, tv_1, tr_698"",""Click and go."",""Date published: 2019-11-19""],""content_changed"":true},{""url"":""https://www.aami.com.au/travel-insurance.html"",""removed_content"":[""Jkjeeper"",""Very easy to use."",""Date published: 2019-11-10"",""Kiki114"",""CLOUD, getContent, 366ms"",""Was finished in under five minutes and ready to go"",""697"",""Getting better a the time."",""Great"",""Seems AAMI are on a continuous improvement program, online services getting less and less clunky all the time."",""y_2019, m_11, d_22, h_2"",""co_hasreviews, tv_1, tr_696""],""added_content"":[""699"",""Date published: 2019-11-21"",""The doc"",""y_2019, m_11, d_23, h_13"",""Anonymous"",""Probably should of done a price comparison."",""Simple"",""Satisfied with the overall experience and short duration"",""CLOUD, getContent, 83ms"",""Easier and cheaper than expected"",""co_hasreviews, tv_1, tr_698"",""Click and go."",""Date published: 2019-11-19""],""content_changed"":true},{""url"":""https://www.aami.com.au/life-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.aami.com.au/business-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
25/11/19,Apia,Change,"[{""url"":""https://www.apia.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.apia.com.au/car-insurance.html"",""removed_content"":[""CLOUD, getContent, 319ms""],""added_content"":[""CLOUD, getContent, 39ms""],""content_changed"":true},{""url"":""https://www.apia.com.au/home-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.apia.com.au/travel-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
25/11/19,Suncorp,Change,"[{""url"":""https://www.suncorp.com.au/insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.suncorp.com.au/insurance/home.html"",""removed_content"":[""CLOUD, getContent, 38ms""],""added_content"":[""CLOUD, getContent, 35ms""],""content_changed"":true},{""url"":""https://www.suncorp.com.au/insurance/car.html"",""removed_content"":[""CLOUD, getContent, 41ms""],""added_content"":[""CLOUD, getContent, 7ms""],""content_changed"":true},{""url"":""https://www.suncorp.com.au/insurance/life.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.suncorp.com.au/insurance/health.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.suncorp.com.au/insurance/travel.html"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
25/11/19,QBE,No Change,"[{""url"":""https://www.qbe.com/au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.qbe.com/au/motor-vehicle-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.qbe.com/au/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.qbe.com/au/business-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
24/11/19,Huddle,No Change,"[{""url"":""https://huddle.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://huddle.com.au/car-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://huddle.com.au/travel-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://huddle.com.au/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
24/11/19,NRMA,No Change,"[{""url"":""https://www.nrma.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.nrma.com.au/car-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.nrma.com.au/travel-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.nrma.com.au/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
24/11/19,Woolworths,No Change,"[{""url"":""https://insurance.woolworths.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://insurance.woolworths.com.au/car-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://insurance.woolworths.com.au/travel-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://insurance.woolworths.com.au/home-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
24/11/19,Youi,No Change,"[{""url"":""https://www.youi.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.youi.com.au/car-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.youi.com.au/motorcycle-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.youi.com.au/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
24/11/19,Budget Direct,No Change,"[{""url"":""https://www.budgetdirect.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.budgetdirect.com.au/car-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.budgetdirect.com.au/home-contents-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.budgetdirect.com.au/travel-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
24/11/19,Bingle,No Change,"[{""url"":""https://www.bingle.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
24/11/19,Coles,No Change,"[{""url"":""https://financialservices.coles.com.au/insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://financialservices.coles.com.au/insurance/car-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://financialservices.coles.com.au/insurance/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://financialservices.coles.com.au/insurance/travel-insurance-existing-policyholders"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
24/11/19,Real Insurance,Change,"[{""url"":""https://www.realinsurance.com.au"",""removed_content"":[""3"",""4,459"",""Drive less."",""Save up to $220 with Pay As You Drive Car Insurance."",""Save big!""],""added_content"":[""1"",""Save up to 10% when you buy Real Car Insurance online"",""4,462""],""content_changed"":true},{""url"":""https://www.realinsurance.com.au/car-insurance"",""removed_content"":[""488""],""added_content"":[""570""],""content_changed"":true},{""url"":""https://www.realinsurance.com.au/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.realinsurance.com.au/landlords-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.realinsurance.com.au/life-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.realinsurance.com.au/income-protection-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.realinsurance.com.au/pet-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.realinsurance.com.au/funeral-insurance"",""removed_content"":[""4.6"",""1,354""],""added_content"":[""1,393"",""4.8""],""content_changed"":true},{""url"":""https://www.realinsurance.com.au/travel-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.realinsurance.com.au/bike-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
24/11/19,Virgin Money,No Change,"[{""url"":""https://virginmoney.com.au/insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://virginmoney.com.au/insurance/car-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://virginmoney.com.au/insurance/income-protection"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://virginmoney.com.au/insurance/life-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://virginmoney.com.au/insurance/travel-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
24/11/19,AAMI,Change,"[{""url"":""https://www.aami.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.aami.com.au/car-insurance.html"",""removed_content"":[""hofek"",""y_2019, m_11, d_20, h_3"",""Date published: 2019-10-30"",""Very easy to complete"",""Date published: 2019-10-29"",""CLOUD, getContent, 78ms"",""co_hasreviews, tv_116, tr_4494"",""Quick and affordable"",""Otherwise I would be happy as Larry."",""I would like some discount as I also have a home and contents insurance with AAMI."",""bvseo_bulk, prod_bvrr, vn_bulk_3.0.3-b1"",""Basil"",""4610"",""I’m very happy with online services and prices for new customers.""],""added_content"":[""Very Easy site to navigate"",""Easy to navigate"",""Was a quick and easy quote to do online and a great price that no one else came close to matching."",""Reed"",""4612"",""CLOUD, getContent, 308ms"",""y_2019, m_11, d_22, h_2"",""Glad I remembered to give AAMI a try."",""Date published: 2019-11-18"",""co_hasreviews, tv_116, tr_4496"",""bvseo_bulk, prod_bvrr, vn_bulk_3.0.3"",""Very happy with the short period of time it takes, no wasted time for a good price."",""argee65""],""content_changed"":true},{""url"":""https://www.aami.com.au/home-insurance.html"",""removed_content"":[""CLOUD, getContent, 266ms""],""added_content"":[""CLOUD, getContent, 358ms""],""content_changed"":true},{""url"":""https://www.aami.com.au/health-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.aami.com.au/travel-insurance.html"",""removed_content"":[""CLOUD, getContent, 500ms"",""y_2019, m_11, d_20, h_3"",""co_hasreviews, tv_1, tr_695"",""696"",""Happy with service, but had to ring to check 7 day cruise in holiday covered (it is)."",""Lisa Canada"",""Had to check in PDS that camper hire excess is included under car hire (it is)."",""bvseo_bulk, prod_bvrr, vn_bulk_3.0.3-b1"",""Easy but had to ring to check detals"",""Date published: 2019-11-08""],""added_content"":[""697"",""CLOUD, getContent, 366ms"",""We are long time AAMI customers and have never had any issue claiming in the past which was the main factor in taking out AAMI travel insurance."",""Super easy to take out travel insurance , the price was very competitive."",""co_hasreviews, tv_1, tr_696"",""y_2019, m_11, d_22, h_2"",""Date published: 2019-11-18"",""bvseo_bulk, prod_bvrr, vn_bulk_3.0.3"",""CHEFF"",""Quick , easy and well priced""],""content_changed"":true},{""url"":""https://www.aami.com.au/travel-insurance.html"",""removed_content"":[""CLOUD, getContent, 500ms"",""y_2019, m_11, d_20, h_3"",""co_hasreviews, tv_1, tr_695"",""696"",""Happy with service, but had to ring to check 7 day cruise in holiday covered (it is)."",""Lisa Canada"",""Had to check in PDS that camper hire excess is included under car hire (it is)."",""bvseo_bulk, prod_bvrr, vn_bulk_3.0.3-b1"",""Easy but had to ring to check detals"",""Date published: 2019-11-08""],""added_content"":[""697"",""CLOUD, getContent, 366ms"",""We are long time AAMI customers and have never had any issue claiming in the past which was the main factor in taking out AAMI travel insurance."",""Super easy to take out travel insurance , the price was very competitive."",""co_hasreviews, tv_1, tr_696"",""y_2019, m_11, d_22, h_2"",""Date published: 2019-11-18"",""bvseo_bulk, prod_bvrr, vn_bulk_3.0.3"",""CHEFF"",""Quick , easy and well priced""],""content_changed"":true},{""url"":""https://www.aami.com.au/life-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.aami.com.au/business-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
24/11/19,Apia,No Change,"[{""url"":""https://www.apia.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.apia.com.au/car-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.apia.com.au/home-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.apia.com.au/travel-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
24/11/19,Suncorp,Change,"[{""url"":""https://www.suncorp.com.au/insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.suncorp.com.au/insurance/home.html"",""removed_content"":[""CLOUD, getContent, 35ms""],""added_content"":[""CLOUD, getContent, 38ms""],""content_changed"":true},{""url"":""https://www.suncorp.com.au/insurance/car.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.suncorp.com.au/insurance/life.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.suncorp.com.au/insurance/health.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.suncorp.com.au/insurance/travel.html"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
24/11/19,QBE,No Change,"[{""url"":""https://www.qbe.com/au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.qbe.com/au/motor-vehicle-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.qbe.com/au/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.qbe.com/au/business-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
23/11/19,Huddle,No Change,"[{""url"":""https://huddle.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://huddle.com.au/car-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://huddle.com.au/travel-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://huddle.com.au/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
23/11/19,NRMA,No Change,"[{""url"":""https://www.nrma.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.nrma.com.au/car-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.nrma.com.au/travel-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.nrma.com.au/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
23/11/19,Woolworths,Change,"[{""url"":""https://insurance.woolworths.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://insurance.woolworths.com.au/car-insurance.html"",""removed_content"":[""Backed by Hollard, Awarded ANZIFF's Large General Insurance Company of the Year 2019""],""added_content"":[""Backed by Hollard, Awarded ANZIIF's Large General Insurance Company of the Year 2019""],""content_changed"":true},{""url"":""https://insurance.woolworths.com.au/travel-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://insurance.woolworths.com.au/home-insurance.html"",""removed_content"":[""Backed by Hollard, Awarded ANZIFF's Large General Insurance Company of the Year 2019""],""added_content"":[""Backed by Hollard, Awarded ANZIIF's Large General Insurance Company of the Year 2019""],""content_changed"":true}]"
23/11/19,Youi,No Change,"[{""url"":""https://www.youi.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.youi.com.au/car-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.youi.com.au/motorcycle-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.youi.com.au/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
23/11/19,Budget Direct,No Change,"[{""url"":""https://www.budgetdirect.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.budgetdirect.com.au/car-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.budgetdirect.com.au/home-contents-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.budgetdirect.com.au/travel-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
23/11/19,Bingle,No Change,"[{""url"":""https://www.bingle.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
23/11/19,Coles,Change,"[{""url"":""https://financialservices.coles.com.au/insurance"",""removed_content"":[],""added_content"":[""If you have been impacted by recent weather events and need to make a claim"",""Severe bushfire warnings have been issued for NSW and QLD."",""000"",""1300 265 374"",""or call us on"",""Stay safe and for immediate assistance call"",""click here""],""content_changed"":true},{""url"":""https://financialservices.coles.com.au/insurance/car-insurance"",""removed_content"":[],""added_content"":[""If you have been impacted by recent weather events and need to make a claim"",""Severe bushfire warnings have been issued for NSW and QLD."",""000"",""1300 265 374"",""or call us on"",""Stay safe and for immediate assistance call"",""click here""],""content_changed"":true},{""url"":""https://financialservices.coles.com.au/insurance/home-insurance"",""removed_content"":[],""added_content"":[""If you have been impacted by recent weather events and need to make a claim"",""Severe bushfire warnings have been issued for NSW and QLD."",""000"",""1300 265 374"",""or call us on"",""Stay safe and for immediate assistance call"",""click here""],""content_changed"":true},{""url"":""https://financialservices.coles.com.au/insurance/travel-insurance-existing-policyholders"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
